energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0.73,0.0897,171.001,0.0598,0.00143,9.54e-05,4,0.513,1,200040,-5.94,0.334,1
0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.183,0.931,0
0.405,0.105,109.891,0.0319,0.751,0.0,4,0.501,1,182161,-5.679,0.446,1
0.731,0.311,173.93,0.0557,0.342,0.00101,4,0.52,6,167303,-5.338,0.662,0
0.478,0.0703,89.908,0.0467,0.552,0.0,4,0.76,2,158040,-5.574,0.913,1
0.587,0.137,186.003,0.276,0.141,6.35e-06,4,0.679,7,230453,-7.015,0.486,1
0.625,0.329,103.967,0.0536,0.00776,0.00188,4,0.792,1,173987,-5.609,0.37,1
0.764,0.103,169.928,0.0483,0.0383,0.0,4,0.591,1,141806,-5.484,0.478,1
0.807,0.101,124.053,0.0336,0.0495,0.0177,4,0.612,10,240400,-2.81,0.398,1
0.587,0.149,98.029,0.0937,0.69,0.000105,4,0.824,6,209438,-6.401,0.514,0
0.78,0.119,124.988,0.108,0.0512,0.0,4,0.772,10,204347,-4.288,0.719,0
0.525,0.0921,80.87,0.0944,0.44,6.7e-06,4,0.761,11,238805,-6.9,0.531,1
0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1
0.52,0.131,159.798,0.0713,0.124,7.75e-05,4,0.585,5,218147,-6.136,0.129,0
0.557,0.0902,85.043,0.059,0.695,0.0,4,0.358,10,211467,-7.398,0.494,1
0.541,0.11,94.949,0.0303,0.415,0.0,4,0.738,8,245507,-5.597,0.657,1
0.296,0.095,115.284,0.0333,0.934,0.0,4,0.351,4,200186,-10.109,0.12,0
0.816,0.335,95.39,0.0465,0.122,0.0,4,0.548,0,174000,-4.209,0.557,1
0.548,0.0828,116.963,0.0289,0.0379,0.0,4,0.759,9,190800,-6.049,0.75,0
0.635,0.164,103.019,0.0317,0.0498,1.44e-05,4,0.617,11,247160,-6.769,0.446,0
0.793,0.0951,123.95,0.083,0.0123,0.0,4,0.793,11,183290,-4.521,0.679,0
0.731,0.151,101.654,0.0379,0.431,0.0,4,0.484,1,204280,-6.694,0.51,1
0.664,0.116,129.07,0.0481,0.637,0.0,4,0.575,4,241693,-5.303,0.437,0
0.566,0.34,83.903,0.2,0.349,0.0,4,0.511,6,239836,-7.23,0.218,0
0.537,0.0941,122.764,0.04,0.695,1.6e-05,4,0.445,4,244360,-8.532,0.131,0
0.379,0.0986,107.989,0.0476,0.607,0.000464,4,0.614,4,258987,-10.48,0.201,1
0.712,0.119,122.014,0.0381,0.0649,0.0,4,0.663,1,257280,-4.945,0.48,0
0.449,0.552,77.169,0.109,0.0332,8.29e-05,4,0.754,7,198973,-9.211,0.357,1
0.763,0.0863,120.042,0.0396,0.189,0.00242,4,0.695,0,215280,-3.497,0.551,1
0.402,0.243,143.879,0.0539,0.289,0.0,4,0.391,0,354320,-9.961,0.228,0
0.425,0.1,135.128,0.375,0.328,0.13,4,0.701,7,194088,-10.965,0.562,1
0.445,0.184,78.998,0.0295,0.474,0.0,4,0.781,2,281560,-6.061,0.591,1
0.922,0.0862,146.078,0.0786,0.0291,0.0,4,0.641,2,258343,-4.457,0.847,1
0.385,0.231,95.82,0.03,0.371,0.0,4,0.577,7,215733,-6.362,0.331,1
0.728,0.149,130.049,0.0484,0.0847,0.0,4,0.841,7,243837,-3.37,0.43,1
0.378,0.28,100.43,0.438,0.835,0.0,4,0.609,4,233720,-9.828,0.515,1
0.661,0.234,173.372,0.0281,0.00239,0.000121,4,0.429,11,266773,-7.227,0.285,1
0.826,0.154,167.985,0.0434,0.00782,0.15,4,0.604,0,187147,-4.804,0.241,1
0.264,0.132,119.93,0.0322,0.922,0.0,4,0.422,8,269560,-7.064,0.331,1
0.702,0.105,169.994,0.157,0.117,2.06e-05,4,0.552,9,178427,-5.707,0.564,1
0.806,0.115,124.118,0.0538,0.00389,0.000674,4,0.516,2,249693,-5.133,0.577,1
0.417,0.0974,67.528,0.0256,0.136,0.022,4,0.464,0,183956,-9.345,0.479,0
0.525,0.134,133.629,0.0615,0.111,0.0,4,0.586,1,260253,-7.163,0.508,0
0.567,0.137,135.553,0.0798,0.0861,0.0,5,0.356,0,242253,-7.011,0.109,0
0.637,0.0602,169.977,0.141,0.0462,2.29e-05,4,0.734,4,202333,-5.677,0.648,0
0.71,0.329,89.929,0.0339,0.19,0.00025,4,0.5,3,175200,-3.015,0.419,1
0.366,0.641,86.997,0.0378,0.969,0.267,3,0.545,2,208212,-9.51,0.1,1
0.521,0.0565,100.45,0.33,0.301,0.0,4,0.692,10,292987,-8.465,0.463,0
0.545,0.0963,74.897,0.0688,0.365,0.0,4,0.479,7,252733,-7.346,0.244,1
0.317,0.0881,139.848,0.308,0.591,0.0,4,0.777,1,178627,-10.732,0.33,0
0.621,0.0958,150.011,0.102,0.000282,5.39e-05,4,0.908,1,177000,-6.638,0.421,0
0.924,0.0953,148.017,0.0808,0.00101,0.0,4,0.356,1,222587,-3.74,0.232,1
0.617,0.109,138.015,0.0287,0.0954,3.23e-06,4,0.486,5,242373,-7.115,0.417,0
0.744,0.359,171.374,0.257,0.00868,0.000423,4,0.692,2,326467,-4.565,0.0612,1
0.532,0.217,85.03,0.0323,0.186,0.000263,4,0.548,5,272394,-7.596,0.405,1
0.669,0.237,112.238,0.0738,0.00286,0.0,4,0.908,7,290320,-2.827,0.662,1
0.862,0.0814,123.994,0.11,0.037,2.19e-05,4,0.791,9,214847,-3.24,0.592,0
0.431,0.106,143.875,0.0578,0.768,1.42e-05,4,0.561,10,242013,-8.81,0.137,1
0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
0.797,0.11,165.717,0.36,0.132,0.0,4,0.455,10,187973,-4.133,0.757,0
0.28,0.088,72.795,0.0434,0.932,0.0,4,0.612,0,213827,-8.648,0.387,1
0.664,0.0849,166.928,0.154,0.335,0.0,4,0.563,9,178147,-5.044,0.688,1
0.391,0.297,134.021,0.242,0.469,4.13e-06,4,0.872,0,119133,-9.144,0.437,0
0.841,0.0622,109.021,0.0422,0.0134,0.0,4,0.635,5,220734,-5.379,0.424,1
0.715,0.135,199.892,0.058,0.0863,2.67e-05,4,0.475,8,205947,-5.371,0.159,1
0.792,0.167,100.011,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1
0.769,0.104,97.985,0.123,0.0293,0.0101,4,0.726,6,233902,-5.043,0.733,1
